sku,name,category,price
000002,Ann,boots,795.00€
000004,George,sandals,795.00€
000002,Sam,boots,71.00€
000002,Matt,sneakers,79.00€
000002,Jennifer,sneakers,79.00€
000002,Sam,sneakers,795.00€
000003,Sam,boots,71.00€
000003,Ann,sneakers,71.00€
000004,George,sandals,19.00€
000004,Sam,boots,19.00€
000003,Sam,boots,795.00€
000003,George,boots,19.00€
000005,Matt,boots,19.00€
000001,Ann,sandals,795.00€
000001,Matt,sandals,19.00€
000002,Sam,boots,71.00€
000003,Matt,boots,79.00€
000005,Matt,boots,79.00€
000001,Jennifer,boots,19.00€
000005,Sam,sandals,71.00€
000001,Sam,boots,19.00€
000004,Sam,boots,19.00€
000005,Matt,sneakers,19.00€
000004,Sam,boots,71.00€
000001,Ann,boots,19.00€
000001,Matt,boots,59.00€
000002,Matt,sandals,795.00€
000003,Jennifer,boots,71.00€
000004,Sam,boots,19.00€
000003,Matt,boots,19.00€
000004,Matt,boots,19.00€
000001,Matt,boots,19.00€
000003,Jennifer,boots,795.00€
000002,Ann,sandals,59.00€
000005,Sam,sandals,79.00€
000005,George,boots,71.00€
000005,Sam,boots,79.00€
000005,Ann,boots,71.00€
000005,Ann,boots,71.00€
000002,Sam,sandals,19.00€
000003,Matt,sandals,19.00€
000002,Ann,sneakers,79.00€
000005,Sam,boots,59.00€
000004,Matt,boots,19.00€
000004,Jennifer,sandals,79.00€
000005,Ann,sandals,19.00€
000003,Ann,sandals,795.00€
000004,Jennifer,sneakers,795.00€
000003,Jennifer,sandals,19.00€
000003,George,boots,71.00€
000003,George,sandals,71.00€
000005,Ann,boots,19.00€
000002,Matt,sandals,71.00€
000005,Ann,sandals,59.00€
000001,Jennifer,sandals,59.00€
000001,George,sneakers,19.00€
000002,Ann,sandals,79.00€
000001,Jennifer,boots,19.00€
000003,Ann,sandals,19.00€
000001,Ann,sneakers,71.00€
000001,Sam,boots,71.00€
000001,Ann,sandals,59.00€
000002,Jennifer,boots,71.00€
000004,George,sneakers,79.00€
000001,Sam,sandals,19.00€
000003,Jennifer,sandals,71.00€
000005,Ann,sandals,59.00€
000005,George,sneakers,795.00€
000002,Jennifer,sneakers,795.00€
000005,Matt,sandals,19.00€
000001,Sam,boots,71.00€
000001,Sam,boots,19.00€
000002,George,boots,19.00€
000003,Matt,sandals,79.00€
000001,Matt,sandals,795.00€
000002,Sam,boots,19.00€
000002,Sam,sandals,79.00€
000001,Matt,boots,71.00€
000003,Matt,boots,795.00€
000001,George,sneakers,71.00€
000005,Matt,sandals,59.00€
000001,Sam,sandals,79.00€
000004,Sam,boots,71.00€
000001,Matt,sandals,59.00€
000005,Matt,boots,795.00€
000001,George,boots,79.00€
000003,Jennifer,boots,19.00€
000004,Jennifer,boots,79.00€
000003,Sam,sandals,19.00€
000003,Matt,sneakers,79.00€
000001,Ann,boots,79.00€
000001,Sam,boots,59.00€
000002,Ann,sneakers,79.00€
